resolution,nodes,cores,processes,wall_clock_per_iter_s,speedup_vs_smallest
200m,1,128,128,10.4194,1.0
200m,2,256,256,11.7666,0.8855
200m,4,512,512,12.4614,0.8361
200m,8,1024,1024,13.287,0.7842
200m,16,2048,2048,14.0618,0.741
400m,1,128,128,10.6773,1.0
400m,2,256,256,11.7949,0.9052
400m,4,512,512,12.6536,0.8438
800m,1,128,128,2.4071,1.0
800m,2,256,256,2.5201,0.9552
800m,4,512,512,2.7265,0.8828
