    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0101   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1    55.8154   5.100E+00   0.0001   0.0038   3.092E-11   8.30325988E-13   6.18566698E-10   2.22105221E-16
       2          10.2     5.3712   5.100E+00   0.0002   0.0038   3.092E-11  -5.74293326E-13   2.47031640E-09   2.22105221E-16
       3          15.3     5.3838   5.100E+00   0.0003   0.0038   3.274E-11   8.48371341E-13   5.54580959E-09   2.22105221E-16
       4          20.4     5.3846   5.100E+00   0.0004   0.0038   3.683E-11  -2.87490171E-12   9.83356685E-09   2.22105221E-16
       5          25.5     5.3653   5.100E+00   0.0005   0.0038   4.002E-11   3.09853597E-12   1.53212589E-08   2.22105221E-16
       6          30.6     5.3919   5.100E+00   0.0006   0.0038   4.911E-11   2.38966442E-12   2.19943104E-08   2.22105221E-16
       7          35.7     5.3849   5.100E+00   0.0007   0.0038   5.093E-11   9.41732478E-13   2.98371923E-08   2.22105221E-16
       8          40.8     5.3723   5.100E+00   0.0008   0.0038   5.093E-11  -5.15324242E-12   3.88312067E-08   2.22105221E-16
       9          45.9     5.3773   5.100E+00   0.0009   0.0038   5.821E-11   8.03053641E-13   4.89587038E-08   2.22105221E-16
      10            51     5.3753   5.100E+00   0.0010   0.0038   6.548E-11  -3.17696363E-13   6.01976922E-08   2.22105221E-16
      11          56.1     5.3751   5.100E+00   0.0011   0.0038   6.548E-11  -2.39118295E-12   7.25136076E-08   2.22105221E-16
      12          61.2     5.3685   5.100E+00   0.0012   0.0038   7.276E-11   1.44903805E-12   8.58933404E-08   2.22105221E-16
      13          66.3     5.3798   5.100E+00   0.0013   0.0038   7.958E-11  -5.49039763E-12   1.00297086E-07   2.22105221E-16
      14          71.4     5.3664   5.100E+00   0.0014   0.0038   8.004E-11  -2.09790952E-12   1.15697418E-07   2.22105221E-16
      15          76.5     5.3789   5.100E+00   0.0015   0.0038   8.004E-11   2.52981316E-12   1.32045244E-07   2.22105221E-16
      16          81.6     5.3713   5.100E+00   0.0016   0.0038   9.095E-11  -2.09374770E-12   1.49330191E-07   2.22105221E-16
      17          86.7     5.3700   5.100E+00   0.0017   0.0038   1.019E-10   4.43927577E-12   1.67501639E-07   2.22105221E-16
      18          91.8     5.3679   5.100E+00   0.0018   0.0038   8.731E-11  -1.13274468E-11   1.86523792E-07   2.22105221E-16
      19          96.9     5.3723   5.100E+00   0.0019   0.0038   9.732E-11  -2.75442581E-12   2.06351956E-07   2.22105221E-16
      20           102     5.3677   5.100E+00   0.0020   0.0038   1.164E-10  -1.77251584E-12   2.26949695E-07   2.22105221E-16
      21         107.1     5.3825   5.100E+00   0.0021   0.0038   1.164E-10  -5.51483555E-13   2.48270965E-07   2.22105221E-16
      22         112.2     5.3660   5.100E+00   0.0022   0.0038   1.164E-10  -3.59017330E-12   2.70254674E-07   2.22105221E-16
      23         117.3     5.3697   5.100E+00   0.0023   0.0038   1.237E-10  -4.32507198E-12   2.92893901E-07   2.22105221E-16
      24         122.4     5.3660   5.100E+00   0.0024   0.0038   1.455E-10  -7.52076700E-12   3.16130979E-07   2.22105221E-16
      25         127.5     5.3709   5.100E+00   0.0024   0.0038   1.381E-10   2.14968733E-12   3.39914891E-07   2.22105221E-16
      26         132.6     5.3831   5.100E+00   0.0025   0.0038   1.237E-10  -4.21360565E-13   3.64207210E-07   2.22105221E-16
      27         137.7     5.3710   5.100E+00   0.0026   0.0038   1.310E-10  -9.85284228E-13   3.88956920E-07   2.22105221E-16
      28         142.8     5.3781   5.100E+00   0.0027   0.0038   1.455E-10  -4.38131909E-12   4.14125225E-07   2.22105221E-16
      29         147.9     5.3759   5.100E+00   0.0027   0.0038   1.382E-10  -4.35747358E-12   4.39661846E-07   2.22105221E-16
      30           153     5.3706   5.100E+00   0.0028   0.0038   1.455E-10   3.16432861E-13   4.65529070E-07   2.22105221E-16
      31         158.1     5.3585   5.100E+00   0.0029   0.0038   1.455E-10   7.25255012E-12   4.91678350E-07   2.22105221E-16
      32         163.2     5.3603   5.100E+00   0.0030   0.0038   1.601E-10   2.18988713E-13   5.18046534E-07   2.22105221E-16
      33         168.3     5.3569   5.100E+00   0.0030   0.0038   1.455E-10  -2.88835058E-12   5.44627028E-07   2.22105221E-16
      34         173.4     5.3672   5.100E+00   0.0031   0.0038   1.837E-10  -9.38902515E-12   5.71381236E-07   2.22105221E-16
      35         178.5     5.3636   5.100E+00   0.0032   0.0038   1.455E-10  -3.24774279E-12   5.98253621E-07   2.22105221E-16
      36         183.6     5.3591   5.100E+00   0.0032   0.0038   1.710E-10  -1.79276201E-12   6.25209964E-07   2.22105221E-16
      37         188.7     5.3744   5.100E+00   0.0033   0.0038   1.892E-10  -2.38344067E-12   6.52209508E-07   2.22105221E-16
      38         193.8     5.3624   5.100E+00   0.0033   0.0038   1.746E-10  -4.38913272E-12   6.79222296E-07   2.22105221E-16
      39         198.9     5.3660   5.100E+00   0.0034   0.0038   1.892E-10   2.89448435E-12   7.06208425E-07   2.22105221E-16
      40           204     5.3737   5.100E+00   0.0034   0.0038   2.037E-10   1.84522211E-12   7.33140723E-07   2.22105221E-16
      41         209.1     5.3796   5.100E+00   0.0035   0.0039   1.874E-10   7.97588644E-12   7.59983834E-07   2.22105221E-16
      42         214.2     5.3553   5.100E+00   0.0035   0.0039   1.819E-10  -6.20233595E-12   7.86713201E-07   2.22105221E-16
      43         219.3     5.3600   5.100E+00   0.0036   0.0039   1.746E-10  -2.78599474E-12   8.13297390E-07   2.22105221E-16
      44         224.4     5.3727   5.100E+00   0.0036   0.0039   1.746E-10  -2.23424881E-12   8.39713209E-07   2.22105221E-16
      45         229.5     5.3663   5.100E+00   0.0037   0.0039   1.892E-10  -5.39494794E-12   8.65933544E-07   2.22105221E-16
      46         234.6     5.3749   5.100E+00   0.0037   0.0039   1.965E-10  -6.58300888E-13   8.91940317E-07   2.22105221E-16
      47         239.7     5.3675   5.100E+00   0.0037   0.0039   1.892E-10   5.90618646E-13   9.17709258E-07   2.22105221E-16
      48         244.8     5.3794   5.100E+00   0.0038   0.0039   1.851E-10   3.05931821E-12   9.43225530E-07   2.22105221E-16
      49         249.9     5.3731   5.100E+00   0.0038   0.0039   2.037E-10  -9.19746592E-13   9.68469863E-07   2.22105221E-16
      50           255     5.3643   5.100E+00   0.0038   0.0039   1.892E-10  -7.61211493E-12   9.93429467E-07   2.22105221E-16
      51         260.1     5.3727   5.100E+00   0.0039   0.0039   1.892E-10   2.52108469E-12   1.01808473E-06   2.22105221E-16
      52         265.2     5.3681   5.100E+00   0.0039   0.0039   2.046E-10  -6.06517180E-12   1.04237347E-06   2.22105221E-16
      53         270.3     5.3839   5.100E+00   0.0039   0.0039   2.328E-10  -5.40331625E-12   1.06639197E-06   2.22105221E-16
      54         275.4     5.3702   5.100E+00   0.0039   0.0039   2.328E-10  -3.62307710E-12   1.09009261E-06   2.22105221E-16
      55         280.5     5.3829   5.100E+00   0.0039   0.0039   2.037E-10   4.45078609E-12   1.11345821E-06   2.22105221E-16
      56         285.6     5.3698   5.100E+00   0.0040   0.0039   2.037E-10  -7.11858827E-12   1.13648616E-06   2.22105221E-16
