    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0054   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1    32.6742   5.100E+00   0.0001   0.0038   3.092E-11   2.18263081E-12   6.18224305E-10   2.22113003E-16
       2          10.2     2.8826   5.100E+00   0.0002   0.0038   3.274E-11  -4.70845625E-14   2.46894860E-09   2.22113003E-16
       3          15.3     2.8801   5.100E+00   0.0003   0.0038   3.274E-11   1.57946475E-12   5.54270141E-09   2.22113003E-16
       4          20.4     2.8823   5.100E+00   0.0004   0.0038   4.002E-11  -2.42800485E-12   9.82811343E-09   2.22113003E-16
       5          25.5     2.8776   5.100E+00   0.0006   0.0038   5.093E-11   3.04542719E-12   1.53124340E-08   2.22113003E-16
       6          30.6     2.8845   5.100E+00   0.0007   0.0038   5.093E-11   2.18628783E-12   2.19819327E-08   2.22113003E-16
       7          35.7     2.8817   5.100E+00   0.0008   0.0038   5.093E-11  -8.61325117E-13   2.98199865E-08   2.22113003E-16
       8          40.8     2.8889   5.100E+00   0.0009   0.0038   5.093E-11  -4.56430336E-12   3.88095529E-08   2.22113003E-16
       9          45.9     2.8871   5.100E+00   0.0010   0.0038   5.821E-11   1.34217203E-12   4.89307688E-08   2.22113003E-16
      10            51     2.8704   5.100E+00   0.0011   0.0038   5.821E-11  -8.74117727E-13   6.01627903E-08   2.22113003E-16
      11          56.1     2.8950   5.100E+00   0.0012   0.0038   6.230E-11  -3.47608964E-12   7.24733198E-08   2.22113003E-16
      12          61.2     2.8811   5.100E+00   0.0013   0.0038   8.731E-11   4.99960750E-13   8.58446967E-08   2.22113003E-16
      13          66.3     2.8808   5.100E+00   0.0014   0.0038   7.503E-11  -5.38969130E-12   1.00239447E-07   2.22113003E-16
      14          71.4     2.8797   5.100E+00   0.0015   0.0038   8.004E-11   2.01959434E-12   1.15630179E-07   2.22113003E-16
      15          76.5     2.8722   5.100E+00   0.0016   0.0038   8.731E-11   5.14379034E-12   1.31972143E-07   2.22113003E-16
      16          81.6     2.8781   5.100E+00   0.0017   0.0038   8.868E-11  -3.96895667E-12   1.49246304E-07   2.22113003E-16
      17          86.7     2.8880   5.100E+00   0.0018   0.0038   1.019E-10   1.92476720E-12   1.67406128E-07   2.22113003E-16
      18          91.8     2.8787   5.100E+00   0.0019   0.0038   1.019E-10  -9.39578883E-12   1.86416216E-07   2.22113003E-16
      19          96.9     2.8873   5.100E+00   0.0020   0.0038   1.091E-10  -4.62765503E-12   2.06231732E-07   2.22113003E-16
      20           102     2.8855   5.100E+00   0.0021   0.0038   1.164E-10   9.41455030E-13   2.26816383E-07   2.22113003E-16
      21         107.1     2.8838   5.100E+00   0.0022   0.0038   1.110E-10   1.67300960E-12   2.48123939E-07   2.22113003E-16
      22         112.2     2.8832   5.100E+00   0.0023   0.0038   1.455E-10  -7.87350046E-12   2.70102049E-07   2.22113003E-16
      23         117.3     2.8823   5.100E+00   0.0024   0.0038   1.164E-10  -3.86031745E-12   2.92726838E-07   2.22113003E-16
      24         122.4     2.8843   5.100E+00   0.0025   0.0038   1.201E-10  -5.99949907E-12   3.15949052E-07   2.22113003E-16
      25         127.5     2.8754   5.100E+00   0.0026   0.0038   1.237E-10   4.02624592E-12   3.39717417E-07   2.22113003E-16
