    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0089   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1   112.4353   5.100E+00   0.0001   0.0038   3.138E-11   3.22918949E-12   6.17964457E-10   2.22025229E-16
       2          10.2    11.2000   5.100E+00   0.0002   0.0038   3.274E-11   7.73473570E-13   2.46791165E-09   2.22025229E-16
       3          15.3    11.1823   5.100E+00   0.0003   0.0038   3.638E-11   1.59172306E-12   5.54047963E-09   2.22025229E-16
       4          20.4    11.2003   5.100E+00   0.0004   0.0038   3.365E-11  -1.76439863E-12   9.82399762E-09   2.22025229E-16
       5          25.5    11.2229   5.100E+00   0.0005   0.0038   3.820E-11   2.34067626E-12   1.53069575E-08   2.22025229E-16
       6          30.6    11.2076   5.100E+00   0.0006   0.0038   4.366E-11   4.01748773E-12   2.19731611E-08   2.22025229E-16
       7          35.7    11.2026   5.100E+00   0.0007   0.0038   5.093E-11  -3.60044622E-13   2.98092893E-08   2.22025229E-16
       8          40.8    11.2105   5.100E+00   0.0008   0.0038   5.093E-11  -6.24272335E-13   3.87933561E-08   2.22025229E-16
       9          45.9    11.2290   5.100E+00   0.0009   0.0038   5.821E-11   6.82326374E-13   4.89121952E-08   2.22025229E-16
      10            51    11.1856   5.100E+00   0.0010   0.0038   6.548E-11  -1.68793185E-14   6.01415096E-08   2.22025229E-16
      11          56.1    11.2121   5.100E+00   0.0011   0.0038   5.821E-11  -4.04037350E-12   7.24424254E-08   2.22025229E-16
      12          61.2    11.1984   5.100E+00   0.0012   0.0038   7.276E-11  -1.67306956E-12   8.58108820E-08   2.22025229E-16
      13          66.3    11.2523   5.100E+00   0.0013   0.0038   7.276E-11  -4.95836532E-12   1.00202364E-07   2.22025229E-16
      14          71.4    11.2129   5.100E+00   0.0014   0.0038   8.731E-11   2.42480298E-12   1.15589408E-07   2.22025229E-16
      15          76.5    11.1878   5.100E+00   0.0015   0.0038   8.731E-11   1.38330927E-12   1.31914774E-07   2.22025229E-16
      16          81.6    11.1660   5.100E+00   0.0016   0.0038   9.027E-11  -3.00000454E-12   1.49184913E-07   2.22025229E-16
      17          86.7    11.2403   5.100E+00   0.0017   0.0038   1.062E-10   5.68647776E-13   1.67341128E-07   2.22025229E-16
      18          91.8    11.2020   5.100E+00   0.0018   0.0038   1.019E-10  -8.62076469E-12   1.86347407E-07   2.22025229E-16
      19          96.9    11.2247   5.100E+00   0.0019   0.0038   9.459E-11  -6.96167256E-12   2.06158759E-07   2.22025229E-16
      20           102    11.2046   5.100E+00   0.0020   0.0038   1.164E-10   1.42458148E-12   2.26739090E-07   2.22025229E-16
      21         107.1    11.2143   5.100E+00   0.0021   0.0038   1.164E-10  -2.06589064E-12   2.48042397E-07   2.22025229E-16
      22         112.2    11.2179   5.100E+00   0.0022   0.0038   1.164E-10  -7.55398608E-12   2.69993535E-07   2.22025229E-16
      23         117.3    11.1678   5.100E+00   0.0023   0.0038   1.219E-10  -5.58398727E-12   2.92614004E-07   2.22025229E-16
      24         122.4    11.2222   5.100E+00   0.0023   0.0038   1.164E-10  -6.16821741E-12   3.15832182E-07   2.22025229E-16
      25         127.5    11.2691   5.100E+00   0.0024   0.0038   1.164E-10   5.72730014E-12   3.39596681E-07   2.22025229E-16
      26         132.6    11.2163   5.100E+00   0.0025   0.0038   1.237E-10   7.56211413E-12   3.63869930E-07   2.22025229E-16
      27         137.7    11.1959   5.100E+00   0.0026   0.0038   1.455E-10   5.95207802E-13   3.88600000E-07   2.22025229E-16
      28         142.8    11.1999   5.100E+00   0.0027   0.0038   1.403E-10  -4.19980847E-12   4.13748324E-07   2.22025229E-16
      29         147.9    11.2445   5.100E+00   0.0027   0.0038   1.455E-10  -5.77610095E-12   4.39264539E-07   2.22025229E-16
      30           153    11.2010   5.100E+00   0.0028   0.0038   1.455E-10   1.36468278E-12   4.65111214E-07   2.22025229E-16
      31         158.1    11.2051   5.100E+00   0.0029   0.0038   1.455E-10   6.73211096E-12   4.91239746E-07   2.22025229E-16
      32         163.2    11.1733   5.100E+00   0.0029   0.0038   1.455E-10  -2.15809315E-12   5.17575813E-07   2.22025229E-16
      33         168.3    11.2213   5.100E+00   0.0030   0.0038   1.673E-10   2.12224986E-12   5.44124248E-07   2.22025229E-16
      34         173.4    11.2110   5.100E+00   0.0031   0.0038   1.601E-10  -5.37678626E-12   5.70858219E-07   2.22025229E-16
      35         178.5    11.1588   5.100E+00   0.0031   0.0038   1.610E-10  -9.10598311E-13   5.97710084E-07   2.22025229E-16
      36         183.6    11.1859   5.100E+00   0.0032   0.0038   1.746E-10   7.99859202E-13   6.24646248E-07   2.22025229E-16
      37         188.7    11.2314   5.100E+00   0.0032   0.0038   1.610E-10  -5.44730320E-12   6.51625271E-07   2.22025229E-16
      38         193.8    11.2158   5.100E+00   0.0033   0.0038   1.746E-10  -3.23369044E-12   6.78617312E-07   2.22025229E-16
      39         198.9    11.2040   5.100E+00   0.0033   0.0038   1.746E-10  -3.42376453E-12   7.05582977E-07   2.22025229E-16
      40           204    11.2133   5.100E+00   0.0034   0.0038   1.746E-10  -1.12049877E-12   7.32495550E-07   2.22025229E-16
      41         209.1    11.2191   5.100E+00   0.0034   0.0038   2.183E-10  -4.87768029E-13   7.59318539E-07   2.22025229E-16
      42         214.2    11.1665   5.100E+00   0.0035   0.0038   1.746E-10  -2.87765753E-12   7.86029091E-07   2.22025229E-16
      43         219.3    11.1832   5.100E+00   0.0035   0.0038   1.855E-10  -3.05393428E-12   8.12593328E-07   2.22025229E-16
      44         224.4    11.2167   5.100E+00   0.0036   0.0038   2.328E-10   4.57383751E-13   8.38990843E-07   2.22025229E-16
      45         229.5    11.2381   5.100E+00   0.0036   0.0039   2.037E-10   4.90707498E-14   8.65192135E-07   2.22025229E-16
      46         234.6    11.1941   5.100E+00   0.0036   0.0039   1.892E-10   4.73913660E-12   8.91179980E-07   2.22025229E-16
      47         239.7    11.1862   5.100E+00   0.0037   0.0039   1.892E-10   5.21781620E-13   9.16930674E-07   2.22025229E-16
      48         244.8    11.2182   5.100E+00   0.0037   0.0039   2.037E-10   2.25827430E-12   9.42428073E-07   2.22025229E-16
      49         249.9    11.2311   5.100E+00   0.0038   0.0039   1.965E-10   3.06422232E-13   9.67652795E-07   2.22025229E-16
      50           255    11.2122   5.100E+00   0.0038   0.0039   2.037E-10  -7.33934614E-12   9.92593527E-07   2.22025229E-16
      51         260.1    11.1783   5.100E+00   0.0039   0.0039   2.037E-10  -7.19702336E-12   1.01723208E-06   2.22025229E-16
      52         265.2    11.2269   5.100E+00   0.0039   0.0039   1.965E-10  -8.19685465E-13   1.04145477E-06   2.22025229E-16
      53         270.3    11.2575   5.100E+00   0.0040   0.0039   2.183E-10  -4.31162701E-12   1.06545087E-06   2.22025229E-16
      54         275.4    11.1898   5.100E+00   0.0040   0.0039   2.328E-10  -2.35959516E-12   1.08913105E-06   2.22025229E-16
      55         280.5    11.1964   5.100E+00   0.0040   0.0039   2.037E-10   2.61766650E-12   1.11247584E-06   2.22025229E-16
      56         285.6    11.1855   5.100E+00   0.0041   0.0039   2.037E-10  -5.51698010E-12   1.13548447E-06   2.22025229E-16
      57         290.7    11.2204   5.100E+00   0.0041   0.0039   2.037E-10  -3.36074636E-12   1.15815203E-06   2.22025229E-16
      58         295.8    11.2000   5.100E+00   0.0042   0.0039   2.328E-10   4.66052164E-13   1.18047876E-06   2.22025229E-16
      59         300.9    11.2717   5.100E+00   0.0042   0.0039   2.328E-10   9.08867686E-12   1.20246341E-06   2.22025229E-16
      60           306    11.2325   5.100E+00   0.0042   0.0039   2.328E-10  -7.53224046E-12   1.22410790E-06   2.22025229E-16
      61         311.1    11.2966   5.100E+00   0.0042   0.0039   2.328E-10  -4.78892707E-12   1.24541202E-06   2.22025229E-16
      62         316.2    11.2366   5.100E+00   0.0043   0.0038   2.328E-10  -1.53259111E-12   1.26638270E-06   2.22025229E-16
      63         321.3    11.2229   5.100E+00   0.0043   0.0038   2.474E-10  -1.51546429E-12   1.28702197E-06   2.22025229E-16
      64         326.4    11.2142   5.100E+00   0.0043   0.0038   2.328E-10  -4.87018195E-12   1.30733883E-06   2.22025229E-16
      65         331.5    11.2425   5.100E+00   0.0044   0.0038   2.183E-10  -1.23846652E-13   1.32733771E-06   2.22025229E-16
      66         336.6    11.2118   5.100E+00   0.0044   0.0038   2.328E-10   1.76801672E-12   1.34702816E-06   2.22025229E-16
      67         341.7    11.1903   5.100E+00   0.0044   0.0038   2.328E-10   6.96057795E-12   1.36641586E-06   2.22025229E-16
      68         346.8    11.1851   5.100E+00   0.0044   0.0038   2.328E-10  -3.82955820E-12   1.38551184E-06   2.22025229E-16
      69         351.9    11.2780   5.100E+00   0.0044   0.0038   2.328E-10  -2.62525505E-12   1.40432519E-06   2.22025229E-16
      70           357    11.2098   5.100E+00   0.0044   0.0038   2.328E-10   3.50927837E-12   1.42286478E-06   2.22025229E-16
      71         362.1    11.1848   5.100E+00   0.0045   0.0038   2.328E-10   6.96048774E-12   1.44114074E-06   2.22025229E-16
      72         367.2    11.2258   5.100E+00   0.0045   0.0038   2.328E-10  -2.55146902E-12   1.45916306E-06   2.22025229E-16
      73         372.3    11.2579   5.100E+00   0.0045   0.0038   2.328E-10  -1.53130134E-12   1.47694141E-06   2.22025229E-16
      74         377.4    11.2184   5.100E+00   0.0045   0.0038   2.328E-10  -1.15655497E-11   1.49448522E-06   2.22025229E-16
      75         382.5    11.2196   5.100E+00   0.0045   0.0038   2.328E-10   5.91782439E-12   1.51180529E-06   2.22025229E-16
      76         387.6    11.1990   5.100E+00   0.0045   0.0038   2.328E-10  -4.92147230E-13   1.52890914E-06   2.22025229E-16
      77         392.7    11.2057   5.100E+00   0.0045   0.0038   2.328E-10  -4.56501937E-12   1.54580687E-06   2.22025229E-16
      78         397.8    11.2030   5.100E+00   0.0045   0.0038   2.328E-10   2.81283980E-12   1.56250530E-06   2.22025229E-16
      79         402.9    11.2206   5.100E+00   0.0045   0.0038   2.328E-10  -9.57998438E-12   1.57901263E-06   2.22025229E-16
      80           408    11.2184   5.100E+00   0.0045   0.0038   2.328E-10  -1.73913217E-12   1.59533442E-06   2.22025229E-16
      81         413.1    11.2360   5.100E+00   0.0045   0.0038   2.328E-10   5.81947294E-12   1.61147921E-06   2.22025229E-16
      82         418.2    11.2240   5.100E+00   0.0045   0.0038   2.328E-10   4.58193639E-12   1.62745016E-06   2.22025229E-16
      83         423.3    11.2057   5.100E+00   0.0045   0.0038   2.328E-10  -6.44428521E-13   1.64325320E-06   2.22025229E-16
      84         428.4    11.2195   5.100E+00   0.0045   0.0038   2.328E-10  -5.60750274E-12   1.65889321E-06   2.22025229E-16
      85         433.5    11.2762   5.100E+00   0.0045   0.0038   2.328E-10   7.89982055E-12   1.67437383E-06   2.22025229E-16
      86         438.6    11.2008   5.100E+00   0.0045   0.0038   2.328E-10   4.49867183E-12   1.68969655E-06   2.22025229E-16
      87         443.7    11.1971   5.100E+00   0.0045   0.0038   2.328E-10  -2.17920929E-12   1.70486476E-06   2.22025229E-16
      88         448.8    11.2017   5.100E+00   0.0045   0.0038   2.328E-10   1.75847845E-12   1.71987949E-06   2.22025229E-16
      89         453.9    11.2425   5.100E+00   0.0045   0.0038   2.328E-10  -3.37688341E-12   1.73474427E-06   2.22025229E-16
      90           459    11.2135   5.100E+00   0.0045   0.0038   2.328E-10  -3.63993384E-12   1.74945728E-06   2.22025229E-16
      91         464.1    11.2011   5.100E+00   0.0045   0.0038   2.328E-10  -2.98158785E-12   1.76402023E-06   2.22025229E-16
      92         469.2    11.2074   5.100E+00   0.0045   0.0038   2.328E-10   7.48595890E-12   1.77842946E-06   2.22025229E-16
      93         474.3    11.2347   5.100E+00   0.0045   0.0038   2.328E-10   5.95390751E-12   1.79268761E-06   2.22025229E-16
      94         479.4    11.2040   5.100E+00   0.0045   0.0038   2.328E-10  -2.34945700E-12   1.80678899E-06   2.22025229E-16
      95         484.5    11.1773   5.100E+00   0.0045   0.0038   2.328E-10   1.76225777E-12   1.82073268E-06   2.22025229E-16
      96         489.6    11.2152   5.100E+00   0.0044   0.0038   2.328E-10  -4.00124575E-14   1.83451800E-06   2.22025229E-16
      97         494.7    11.2277   5.100E+00   0.0044   0.0038   2.328E-10   1.70358293E-11   1.84814064E-06   2.22025229E-16
      98         499.8    11.1955   5.100E+00   0.0044   0.0038   2.328E-10   6.18510408E-12   1.86159912E-06   2.22025229E-16
      99         504.9    11.1795   5.100E+00   0.0044   0.0038   2.328E-10  -1.35664429E-13   1.87488945E-06   2.22025229E-16
     100           510    11.1977   5.100E+00   0.0044   0.0038   2.328E-10  -2.18958728E-14   1.88801073E-06   2.22025229E-16
     101         515.1    11.2485   5.100E+00   0.0044   0.0038   2.328E-10  -1.01330801E-11   1.90096046E-06   2.22025229E-16
     102         520.2    11.1913   5.100E+00   0.0043   0.0038   2.328E-10   6.05834783E-12   1.91373329E-06   2.22025229E-16
