    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0083   4.400E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           4.4    51.9357   4.400E+00   0.0002   0.0034   2.365E-11  -1.62099197E-12   1.21350618E-09   2.22105221E-16
       2           8.8     4.8060   4.400E+00   0.0004   0.0034   2.910E-11   2.24570666E-12   4.84722928E-09   2.22105221E-16
       3          13.2     4.8159   4.400E+00   0.0005   0.0034   4.366E-11  -1.04414817E-12   1.08881615E-08   2.22105221E-16
       4          17.6     4.8054   4.400E+00   0.0007   0.0034   5.093E-11   4.48415480E-12   1.93182483E-08   2.22105221E-16
       5            22     4.8130   4.400E+00   0.0009   0.0034   6.003E-11  -1.60154808E-13   3.01146805E-08   2.22105221E-16
       6          26.4     4.8105   4.400E+00   0.0011   0.0034   7.276E-11   3.98738854E-12   4.32434497E-08   2.22105221E-16
       7          30.8     4.8175   4.400E+00   0.0013   0.0034   8.731E-11   3.21108960E-12   5.86694249E-08   2.22105221E-16
       8          35.2     4.8036   4.400E+00   0.0014   0.0034   1.019E-10   2.51598568E-12   7.63429640E-08   2.22105221E-16
       9          39.6     4.8061   4.400E+00   0.0016   0.0034   9.459E-11   2.68080458E-12   9.62202620E-08   2.22105221E-16
      10            44     4.8147   4.400E+00   0.0018   0.0034   1.164E-10   1.74159168E-12   1.18241061E-07   2.22105221E-16
      11          48.4     4.8118   4.400E+00   0.0019   0.0034   1.164E-10  -5.92598290E-13   1.42335381E-07   2.22105221E-16
      12          52.8     4.8050   4.400E+00   0.0021   0.0034   1.455E-10  -1.82020696E-12   1.68451834E-07   2.22105221E-16
      13          57.2     4.8160   4.400E+00   0.0023   0.0034   1.455E-10  -3.36326605E-12   1.96508708E-07   2.22105221E-16
      14          61.6     4.7985   4.400E+00   0.0025   0.0034   1.746E-10  -4.01258367E-12   2.26429734E-07   2.22105221E-16
      15            66     4.8071   4.400E+00   0.0026   0.0034   1.746E-10  -4.20682716E-12   2.58124487E-07   2.22105221E-16
      16          70.4     4.8154   4.400E+00   0.0028   0.0034   1.746E-10  -6.26623883E-12   2.91517409E-07   2.22105221E-16
      17          74.8     4.8136   4.400E+00   0.0029   0.0034   1.746E-10   9.64558186E-13   3.26525537E-07   2.22105221E-16
      18          79.2     4.8154   4.400E+00   0.0031   0.0034   1.819E-10   2.24429698E-12   3.63048542E-07   2.22105221E-16
      19          83.6     4.8090   4.400E+00   0.0033   0.0034   2.328E-10   4.73850668E-13   4.00988711E-07   2.22105221E-16
      20            88     4.8053   4.400E+00   0.0034   0.0034   2.328E-10  -7.74993893E-13   4.40248812E-07   2.22105221E-16
      21          92.4     4.8079   4.400E+00   0.0036   0.0034   2.328E-10   9.76315925E-13   4.80727181E-07   2.22105221E-16
      22          96.8     4.8023   4.400E+00   0.0037   0.0034   2.328E-10  -9.83184627E-12   5.22295636E-07   2.22105221E-16
      23         101.2     4.8080   4.400E+00   0.0039   0.0034   2.328E-10  -2.64082224E-12   5.64899608E-07   2.22105221E-16
      24         105.6     4.8140   4.400E+00   0.0040   0.0034   2.474E-10  -2.54010116E-12   6.08413927E-07   2.22105221E-16
      25           110     4.8076   4.400E+00   0.0042   0.0034   2.328E-10  -7.54483802E-12   6.52728318E-07   2.22105221E-16
      26         114.4     4.8137   4.400E+00   0.0043   0.0034   2.474E-10  -3.89386613E-12   6.97738017E-07   2.22105221E-16
      27         118.8     4.8059   4.400E+00   0.0044   0.0034   2.619E-10   2.71340849E-12   7.43333999E-07   2.22105221E-16
      28         123.2     4.8159   4.400E+00   0.0046   0.0034   2.910E-10   8.09103479E-12   7.89411331E-07   2.22105221E-16
      29         127.6     4.8141   4.400E+00   0.0047   0.0034   2.910E-10  -2.50620748E-12   8.35864910E-07   2.22105221E-16
      30           132     4.8039   4.400E+00   0.0048   0.0034   3.274E-10  -5.52063950E-12   8.82592474E-07   2.22105221E-16
      31         136.4     4.8154   4.400E+00   0.0050   0.0034   2.910E-10  -9.41582489E-12   9.29489545E-07   2.22105221E-16
      32         140.8     4.8154   4.400E+00   0.0051   0.0035   3.492E-10   4.20448745E-12   9.76457159E-07   2.22105221E-16
      33         145.2     4.8099   4.400E+00   0.0052   0.0035   3.056E-10  -5.69088700E-12   1.02338549E-06   2.22105221E-16
      34         149.6     4.8103   4.400E+00   0.0053   0.0035   3.492E-10   4.04443753E-12   1.07014671E-06   2.22105221E-16
      35           154     4.8089   4.400E+00   0.0054   0.0035   3.492E-10   5.08872068E-12   1.11674353E-06   2.22105221E-16
      36         158.4     4.8149   4.400E+00   0.0055   0.0035   3.492E-10  -2.47477342E-12   1.16303556E-06   2.22105221E-16
      37         162.8     4.8008   4.400E+00   0.0056   0.0035   3.783E-10   5.17318480E-12   1.20893515E-06   2.22105221E-16
      38         167.2     4.8042   4.400E+00   0.0057   0.0035   3.492E-10  -8.93411560E-12   1.25436259E-06   2.22105221E-16
      39         171.6     4.8146   4.400E+00   0.0058   0.0035   3.638E-10   6.86594575E-12   1.29923637E-06   2.22105221E-16
      40           176     4.8122   4.400E+00   0.0059   0.0035   3.492E-10   1.14868748E-11   1.34348545E-06   2.22105221E-16
      41         180.4     4.8160   4.400E+00   0.0060   0.0035   3.856E-10  -3.28498079E-12   1.38703797E-06   2.22105221E-16
      42         184.8     4.8102   4.400E+00   0.0061   0.0035   4.657E-10   4.42224642E-12   1.42982958E-06   2.22105221E-16
      43         189.2     4.8083   4.400E+00   0.0062   0.0035   3.492E-10  -6.17175668E-12   1.47179992E-06   2.22105221E-16
      44         193.6     4.8127   4.400E+00   0.0063   0.0035   3.492E-10   1.68319872E-11   1.51289316E-06   2.22105221E-16
      45           198     4.8025   4.400E+00   0.0064   0.0035   3.638E-10  -5.40378126E-13   1.55305929E-06   2.22105221E-16
      46         202.4     4.8079   4.400E+00   0.0064   0.0035   4.657E-10  -1.79221013E-11   1.59225260E-06   2.22105221E-16
      47         206.8     4.8149   4.400E+00   0.0065   0.0035   3.492E-10  -1.82953500E-12   1.63043194E-06   2.22105221E-16
      48         211.2     4.8097   4.400E+00   0.0066   0.0035   4.657E-10  -2.96188161E-12   1.66756320E-06   2.22105221E-16
      49         215.6     4.8043   4.400E+00   0.0066   0.0035   4.657E-10  -6.31548936E-12   1.70361454E-06   2.22105221E-16
      50           220     4.8158   4.400E+00   0.0067   0.0035   4.657E-10   3.62595652E-12   1.73856210E-06   2.22105221E-16
      51         224.4     4.8168   4.400E+00   0.0067   0.0035   4.657E-10  -3.13140966E-14   1.77238462E-06   2.22105221E-16
      52         228.8     4.8095   4.400E+00   0.0068   0.0035   3.492E-10  -3.81108166E-12   1.80506731E-06   2.22105221E-16
      53         233.2     4.8033   4.400E+00   0.0068   0.0035   4.657E-10  -6.03654193E-12   1.83659790E-06   2.22105221E-16
      54         237.6     4.8125   4.400E+00   0.0069   0.0035   4.657E-10  -2.19426630E-11   1.86697184E-06   2.22105221E-16
      55           242     4.8168   4.400E+00   0.0069   0.0035   4.657E-10  -9.41786493E-12   1.89618811E-06   2.22105221E-16
      56         246.4     4.8070   4.400E+00   0.0070   0.0035   4.657E-10   8.21869049E-12   1.92425000E-06   2.22105221E-16
      57         250.8     4.8048   4.400E+00   0.0070   0.0035   4.657E-10   1.38527089E-11   1.95116377E-06   2.22105221E-16
      58         255.2     4.8128   4.400E+00   0.0070   0.0035   4.657E-10  -6.72185268E-12   1.97694362E-06   2.22105221E-16
      59         259.6     4.8169   4.400E+00   0.0070   0.0035   4.657E-10   1.25213199E-11   2.00160343E-06   2.22105221E-16
      60           264     4.8087   4.400E+00   0.0071   0.0035   4.657E-10   7.18484560E-12   2.02516458E-06   2.22105221E-16
      61         268.4     4.8072   4.400E+00   0.0071   0.0035   5.821E-10  -5.00125722E-12   2.04763569E-06   2.22105221E-16
      62         272.8     4.8108   4.400E+00   0.0071   0.0035   4.657E-10  -5.73455909E-12   2.06901382E-06   2.22105221E-16
      63         277.2     4.8073   4.400E+00   0.0071   0.0035   4.657E-10  -3.41102910E-11   2.08940469E-06   2.22105221E-16
      64         281.6     4.8145   4.400E+00   0.0071   0.0035   4.657E-10   1.49383836E-12   2.10883854E-06   2.22105221E-16
      65           286     4.8162   4.400E+00   0.0071   0.0035   4.657E-10   8.45216692E-12   2.12732903E-06   2.22105221E-16
      66         290.4     4.8103   4.400E+00   0.0071   0.0035   4.657E-10   6.12604531E-13   2.14491092E-06   2.22105221E-16
      67         294.8     4.8095   4.400E+00   0.0071   0.0035   4.657E-10   3.06998134E-12   2.16162198E-06   2.22105221E-16
      68         299.2     4.8131   4.400E+00   0.0071   0.0035   4.657E-10  -1.77891660E-11   2.17750585E-06   2.22105221E-16
      69         303.6     4.8116   4.400E+00   0.0071   0.0035   4.657E-10  -1.27219216E-11   2.19260573E-06   2.22105221E-16
      70           308     4.8154   4.400E+00   0.0070   0.0035   4.657E-10   6.78748030E-12   2.20696688E-06   2.22105221E-16
      71         312.4     4.8138   4.400E+00   0.0070   0.0035   4.657E-10   5.79202832E-12   2.22063363E-06   2.22105221E-16
      72         316.8     4.8172   4.400E+00   0.0070   0.0035   4.657E-10  -5.51092115E-12   2.23365305E-06   2.22105221E-16
      73         321.2     4.8046   4.400E+00   0.0070   0.0035   4.657E-10  -3.59776185E-12   2.24607129E-06   2.22105221E-16
      74         325.6     4.8175   4.400E+00   0.0069   0.0035   4.657E-10  -7.61340470E-12   2.25793588E-06   2.22105221E-16
