    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0021   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1     8.1149   5.100E+00   0.0001   0.0038   2.910E-11   2.01402805E-12   6.17943030E-10   2.22028577E-16
       2          10.2     0.6375   5.100E+00   0.0002   0.0038   3.274E-11  -1.03294532E-12   2.46782794E-09   2.22028577E-16
       3          15.3     0.6382   5.100E+00   0.0003   0.0038   3.274E-11   1.15778177E-12   5.54015633E-09   2.22028577E-16
       4          20.4     0.6390   5.100E+00   0.0004   0.0038   3.456E-11   9.05848001E-14   9.82367787E-09   2.22028577E-16
       5          25.5     0.6336   5.100E+00   0.0005   0.0038   3.638E-11   1.05989891E-12   1.53052326E-08   2.22028577E-16
       6          30.6     0.6383   5.100E+00   0.0006   0.0038   4.366E-11   2.54599510E-13   2.19719425E-08   2.22028577E-16
       7          35.7     0.6356   5.100E+00   0.0007   0.0038   4.911E-11  -1.44035478E-12   2.98060954E-08   2.22028577E-16
       8          40.8     0.6350   5.100E+00   0.0008   0.0038   5.093E-11  -3.45297901E-12   3.87923400E-08   2.22028577E-16
       9          45.9     0.6345   5.100E+00   0.0009   0.0038   5.457E-11  -1.56633474E-12   4.89085714E-08   2.22028577E-16
      10            51     0.6387   5.100E+00   0.0011   0.0038   5.821E-11  -1.03023829E-12   6.01351431E-08   2.22028577E-16
      11          56.1     0.6379   5.100E+00   0.0012   0.0038   6.185E-11  -2.69143020E-12   7.24419067E-08   2.22028577E-16
      12          61.2     0.6377   5.100E+00   0.0013   0.0038   6.548E-11   5.79715692E-13   8.58068461E-08   2.22028577E-16
      13          66.3     0.6373   5.100E+00   0.0014   0.0038   8.095E-11  -4.09078630E-12   1.00194754E-07   2.22028577E-16
      14          71.4     0.6357   5.100E+00   0.0015   0.0038   7.287E-11  -6.12559523E-14   1.15578231E-07   2.22028577E-16
      15          76.5     0.6363   5.100E+00   0.0016   0.0038   8.731E-11   4.90233592E-12   1.31917076E-07   2.22028577E-16
      16          81.6     0.6357   5.100E+00   0.0016   0.0038   8.004E-11   4.97193758E-13   1.49183222E-07   2.22028577E-16
      17          86.7     0.6382   5.100E+00   0.0017   0.0038   9.004E-11   2.03029477E-12   1.67334719E-07   2.22028577E-16
      18          91.8     0.6378   5.100E+00   0.0018   0.0038   9.641E-11  -9.34816547E-12   1.86336152E-07   2.22028577E-16
      19          96.9     0.6344   5.100E+00   0.0019   0.0038   9.459E-11  -4.12218306E-12   2.06142872E-07   2.22028577E-16
      20           102     0.6346   5.100E+00   0.0020   0.0038   1.091E-10   6.75457682E-13   2.26718512E-07   2.22028577E-16
      21         107.1     0.6372   5.100E+00   0.0021   0.0038   1.164E-10  -1.52908177E-12   2.48016761E-07   2.22028577E-16
      22         112.2     0.6357   5.100E+00   0.0022   0.0038   1.037E-10  -3.53207416E-12   2.69994786E-07   2.22028577E-16
      23         117.3     0.6355   5.100E+00   0.0023   0.0038   1.164E-10  -3.03994200E-12   2.92610252E-07   2.22028577E-16
      24         122.4     0.6372   5.100E+00   0.0024   0.0038   1.164E-10  -2.02427333E-12   3.15823144E-07   2.22028577E-16
      25         127.5     0.6382   5.100E+00   0.0025   0.0038   1.237E-10   4.61326550E-12   3.39582073E-07   2.22028577E-16
