    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0034   4.400E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           4.4    14.3117   4.400E+00   0.0002   0.0034   2.365E-11   6.15285275E-13   1.21191757E-09   2.22075178E-16
       2           8.8     1.2710   4.400E+00   0.0004   0.0034   3.274E-11   4.17073624E-12   4.84088014E-09   2.22075178E-16
       3          13.2     1.2791   4.400E+00   0.0006   0.0034   4.366E-11   1.05513363E-12   1.08737943E-08   2.22075178E-16
       4          17.6     1.2828   4.400E+00   0.0007   0.0034   5.093E-11   2.05782960E-12   1.92929352E-08   2.22075178E-16
       5            22     1.2782   4.400E+00   0.0009   0.0034   5.821E-11   3.33559612E-12   3.00744745E-08   2.22075178E-16
       6          26.4     1.2801   4.400E+00   0.0011   0.0034   7.276E-11   2.32246210E-12   4.31864144E-08   2.22075178E-16
       7          30.8     1.2751   4.400E+00   0.0013   0.0034   8.731E-11   1.29212645E-12   5.85911479E-08   2.22075178E-16
       8          35.2     1.2801   4.400E+00   0.0015   0.0034   1.164E-10   2.53249765E-12   7.62429408E-08   2.22075178E-16
       9          39.6     1.2770   4.400E+00   0.0017   0.0034   8.731E-11  -2.58207821E-12   9.60923643E-08   2.22075178E-16
      10            44     1.2783   4.400E+00   0.0018   0.0034   1.091E-10  -3.28432095E-12   1.18082667E-07   2.22075178E-16
      11          48.4     1.2747   4.400E+00   0.0020   0.0034   1.164E-10   1.40847447E-12   1.42148778E-07   2.22075178E-16
      12          52.8     1.2786   4.400E+00   0.0022   0.0034   1.346E-10  -7.38052848E-12   1.68228198E-07   2.22075178E-16
      13          57.2     1.2739   4.400E+00   0.0024   0.0034   1.455E-10  -9.40562732E-13   1.96245338E-07   2.22075178E-16
      14          61.6     1.2749   4.400E+00   0.0025   0.0034   1.746E-10  -5.22834423E-12   2.26124484E-07   2.22075178E-16
      15            66     1.2802   4.400E+00   0.0027   0.0034   1.528E-10   7.25203274E-12   2.57780385E-07   2.22075178E-16
      16          70.4     1.2796   4.400E+00   0.0029   0.0034   1.819E-10  -5.79481775E-12   2.91131016E-07   2.22075178E-16
      17          74.8     1.2698   4.400E+00   0.0031   0.0034   1.746E-10   1.34926564E-12   3.26088468E-07   2.22075178E-16
      18          79.2     1.2749   4.400E+00   0.0032   0.0034   1.783E-10  -5.10857676E-12   3.62558580E-07   2.22075178E-16
      19          83.6     1.2726   4.400E+00   0.0034   0.0034   2.328E-10  -5.51488022E-12   4.00443952E-07   2.22075178E-16
      20            88     1.2817   4.400E+00   0.0035   0.0034   2.328E-10  -7.94742223E-12   4.39647323E-07   2.22075178E-16
      21          92.4     1.2786   4.400E+00   0.0037   0.0034   2.328E-10   8.36806232E-12   4.80066831E-07   2.22075178E-16
      22          96.8     1.2748   4.400E+00   0.0039   0.0034   2.328E-10  -3.41971525E-12   5.21594870E-07   2.22075178E-16
      23         101.2     1.2777   4.400E+00   0.0040   0.0034   2.328E-10  -5.19814010E-12   5.64136599E-07   2.22075178E-16
      24         105.6     1.2830   4.400E+00   0.0042   0.0034   3.347E-10   2.40908595E-12   6.07585662E-07   2.22075178E-16
      25           110     1.2700   4.400E+00   0.0043   0.0034   2.328E-10  -3.72667739E-12   6.51832295E-07   2.22075178E-16
      26         114.4     1.2733   4.400E+00   0.0044   0.0034   2.619E-10   2.86392004E-12   6.96772759E-07   2.22075178E-16
      27         118.8     1.2788   4.400E+00   0.0046   0.0034   2.619E-10  -2.59391098E-12   7.42298766E-07   2.22075178E-16
      28         123.2     1.2745   4.400E+00   0.0047   0.0034   2.328E-10  -1.77638514E-12   7.88305272E-07   2.22075178E-16
      29         127.6     1.2754   4.400E+00   0.0048   0.0034   2.910E-10   3.60496051E-12   8.34686261E-07   2.22075178E-16
      30           132     1.2770   4.400E+00   0.0050   0.0034   3.201E-10  -1.86768786E-12   8.81340611E-07   2.22075178E-16
      31         136.4     1.2738   4.400E+00   0.0051   0.0034   2.910E-10   4.32434470E-12   9.28163217E-07   2.22075178E-16
      32         140.8     1.2748   4.400E+00   0.0052   0.0034   3.492E-10   3.53987261E-12   9.75055400E-07   2.22075178E-16
      33         145.2     1.2822   4.400E+00   0.0053   0.0034   3.492E-10  -1.19581461E-12   1.02191234E-06   2.22075178E-16
      34         149.6     1.2791   4.400E+00   0.0055   0.0034   3.492E-10   1.19365498E-12   1.06863740E-06   2.22075178E-16
      35           154     1.2732   4.400E+00   0.0056   0.0034   3.492E-10  -4.37329556E-12   1.11515726E-06   2.22075178E-16
      36         158.4     1.2748   4.400E+00   0.0057   0.0035   3.492E-10  -2.40620631E-12   1.16137142E-06   2.22075178E-16
      37         162.8     1.2794   4.400E+00   0.0058   0.0035   4.184E-10  -1.39989615E-12   1.20719221E-06   2.22075178E-16
      38         167.2     1.2696   4.400E+00   0.0059   0.0035   3.492E-10   6.65814463E-13   1.25254019E-06   2.22075178E-16
      39         171.6     1.2747   4.400E+00   0.0060   0.0035   3.638E-10   1.14032507E-11   1.29733507E-06   2.22075178E-16
      40           176     1.2778   4.400E+00   0.0061   0.0035   3.492E-10  -3.19871690E-12   1.34150457E-06   2.22075178E-16
      41         180.4     1.2758   4.400E+00   0.0061   0.0035   3.492E-10  -2.30920469E-12   1.38497705E-06   2.22075178E-16
      42         184.8     1.2773   4.400E+00   0.0062   0.0035   3.492E-10   3.03338821E-12   1.42768988E-06   2.22075178E-16
      43         189.2     1.2725   4.400E+00   0.0063   0.0035   3.492E-10  -1.61981470E-11   1.46958064E-06   2.22075178E-16
      44         193.6     1.2768   4.400E+00   0.0064   0.0035   3.492E-10   1.84081309E-12   1.51059658E-06   2.22075178E-16
      45           198     1.2767   4.400E+00   0.0064   0.0035   4.657E-10   1.44202020E-11   1.55068471E-06   2.22075178E-16
      46         202.4     1.2734   4.400E+00   0.0065   0.0035   4.657E-10  -2.22882580E-11   1.58980151E-06   2.22075178E-16
      47         206.8     1.2701   4.400E+00   0.0066   0.0035   3.492E-10  -1.12643167E-11   1.62790502E-06   2.22075178E-16
      48         211.2     1.2829   4.400E+00   0.0066   0.0035   3.492E-10  -8.26158239E-12   1.66496102E-06   2.22075178E-16
