    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0032   4.400E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           4.4    13.1591   4.400E+00   0.0002   0.0034   2.728E-11   1.53184876E-12   1.21219845E-09   2.22075178E-16
       2           8.8     1.1836   4.400E+00   0.0004   0.0034   2.910E-11   2.45956640E-12   4.84199925E-09   2.22075178E-16
       3          13.2     1.1842   4.400E+00   0.0005   0.0034   3.820E-11   1.43675913E-12   1.08763087E-08   2.22075178E-16
       4          17.6     1.1831   4.400E+00   0.0007   0.0034   4.366E-11   4.18835062E-12   1.92974117E-08   2.22075178E-16
       5            22     1.1824   4.400E+00   0.0009   0.0034   5.821E-11   2.57951375E-13   3.00814627E-08   2.22075178E-16
       6          26.4     1.1851   4.400E+00   0.0011   0.0034   5.821E-11   5.30408009E-12   4.31965184E-08   2.22075178E-16
       7          30.8     1.1818   4.400E+00   0.0012   0.0034   7.276E-11   4.48019529E-12   5.86049929E-08   2.22075178E-16
       8          35.2     1.1816   4.400E+00   0.0014   0.0034   8.731E-11   5.17702417E-13   7.62612089E-08   2.22075178E-16
       9          39.6     1.1779   4.400E+00   0.0016   0.0034   9.459E-11  -5.61584156E-12   9.61157269E-08   2.22075178E-16
      10            44     1.1828   4.400E+00   0.0017   0.0034   9.095E-11  -1.07946048E-11   1.18111863E-07   2.22075178E-16
      11          48.4     1.1903   4.400E+00   0.0019   0.0034   1.164E-10  -6.33120672E-13   1.42184462E-07   2.22075178E-16
      12          52.8     1.1828   4.400E+00   0.0021   0.0034   1.164E-10  -9.61498763E-12   1.68271086E-07   2.22075178E-16
      13          57.2     1.1838   4.400E+00   0.0022   0.0034   1.237E-10  -8.30411434E-12   1.96296114E-07   2.22075178E-16
      14          61.6     1.1857   4.400E+00   0.0024   0.0034   1.746E-10  -6.74704823E-12   2.26183943E-07   2.22075178E-16
      15            66     1.1812   4.400E+00   0.0026   0.0034   1.746E-10  -1.96450972E-12   2.57849223E-07   2.22075178E-16
      16          70.4     1.1852   4.400E+00   0.0027   0.0034   1.746E-10   6.71429448E-12   2.91210313E-07   2.22075178E-16
      17          74.8     1.1809   4.400E+00   0.0029   0.0034   1.746E-10   2.69349235E-12   3.26178878E-07   2.22075178E-16
      18          79.2     1.1823   4.400E+00   0.0030   0.0034   1.746E-10  -1.56366517E-11   3.62661041E-07   2.22075178E-16
      19          83.6     1.1814   4.400E+00   0.0032   0.0034   2.328E-10   1.12319225E-11   4.00559486E-07   2.22075178E-16
      20            88     1.1789   4.400E+00   0.0033   0.0034   1.892E-10  -8.98630562E-12   4.39776841E-07   2.22075178E-16
      21          92.4     1.1855   4.400E+00   0.0035   0.0034   1.892E-10   9.31744373E-13   4.80211440E-07   2.22075178E-16
      22          96.8     1.1818   4.400E+00   0.0036   0.0034   2.328E-10  -7.54645738E-12   5.21755453E-07   2.22075178E-16
      23         101.2     1.1812   4.400E+00   0.0038   0.0034   2.328E-10  -1.63337208E-11   5.64314519E-07   2.22075178E-16
      24         105.6     1.1814   4.400E+00   0.0039   0.0034   2.328E-10   2.26217361E-11   6.07781828E-07   2.22075178E-16
      25           110     1.1807   4.400E+00   0.0040   0.0034   2.328E-10  -6.36240062E-12   6.52048016E-07   2.22075178E-16
      26         114.4     1.1809   4.400E+00   0.0042   0.0034   2.910E-10  -2.00499010E-11   6.97009000E-07   2.22075178E-16
      27         118.8     1.1831   4.400E+00   0.0043   0.0034   2.328E-10  -2.74381073E-11   7.42556665E-07   2.22075178E-16
      28         123.2     1.1798   4.400E+00   0.0044   0.0034   2.619E-10   9.65889955E-12   7.88586135E-07   2.22075178E-16
      29         127.6     1.1827   4.400E+00   0.0046   0.0034   2.328E-10  -1.24613306E-11   8.34990999E-07   2.22075178E-16
      30           132     1.1800   4.400E+00   0.0047   0.0034   2.619E-10  -1.14381638E-11   8.81670530E-07   2.22075178E-16
      31         136.4     1.1811   4.400E+00   0.0048   0.0034   2.619E-10  -1.17285088E-11   9.28519171E-07   2.22075178E-16
      32         140.8     1.1829   4.400E+00   0.0049   0.0034   2.838E-10   1.80973888E-12   9.75438866E-07   2.22075178E-16
      33         145.2     1.1834   4.400E+00   0.0050   0.0034   2.910E-10  -1.01025759E-11   1.02232434E-06   2.22075178E-16
      34         149.6     1.1814   4.400E+00   0.0052   0.0034   2.910E-10   2.34123875E-12   1.06907930E-06   2.22075178E-16
      35           154     1.1809   4.400E+00   0.0053   0.0034   2.910E-10  -1.11984493E-11   1.11563008E-06   2.22075178E-16
      36         158.4     1.1825   4.400E+00   0.0054   0.0034   2.910E-10   2.28676886E-13   1.16187630E-06   2.22075178E-16
      37         162.8     1.1839   4.400E+00   0.0055   0.0035   3.056E-10  -1.79826900E-11   1.20773063E-06   2.22075178E-16
      38         167.2     1.1811   4.400E+00   0.0056   0.0035   3.492E-10   6.55364435E-12   1.25311283E-06   2.22075178E-16
      39         171.6     1.1804   4.400E+00   0.0057   0.0035   3.492E-10   2.19690585E-11   1.29794341E-06   2.22075178E-16
      40           176     1.1800   4.400E+00   0.0057   0.0035   3.492E-10   1.23082395E-11   1.34214895E-06   2.22075178E-16
      41         180.4     1.1831   4.400E+00   0.0058   0.0035   3.492E-10  -1.14626390E-11   1.38565906E-06   2.22075178E-16
