    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0074   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1   107.5960   5.100E+00   0.0001   0.0038   3.001E-11   2.24976288E-12   6.17824625E-10   2.22025229E-16
       2          10.2    10.0826   5.100E+00   0.0002   0.0038   3.274E-11   1.57581860E-13   2.46735432E-09   2.22025229E-16
       3          15.3    10.1133   5.100E+00   0.0003   0.0038   3.274E-11   2.41888459E-13   5.53922952E-09   2.22025229E-16
       4          20.4    10.1464   5.100E+00   0.0004   0.0038   3.547E-11  -1.82839356E-12   9.82177539E-09   2.22025229E-16
       5          25.5    10.1152   5.100E+00   0.0005   0.0038   4.002E-11   1.57226044E-12   1.53034918E-08   2.22025229E-16
       6          30.6    10.0995   5.100E+00   0.0006   0.0038   4.366E-11   3.99308147E-12   2.19681642E-08   2.22025229E-16
       7          35.7    10.1040   5.100E+00   0.0007   0.0038   4.729E-11  -1.11193910E-12   2.98025178E-08   2.22025229E-16
       8          40.8    10.0934   5.100E+00   0.0008   0.0038   4.729E-11  -1.34188331E-12   3.87845205E-08   2.22025229E-16
       9          45.9    10.1427   5.100E+00   0.0009   0.0038   5.821E-11  -3.73294630E-13   4.89010503E-08   2.22025229E-16
      10            51    10.0971   5.100E+00   0.0010   0.0038   5.821E-11   4.80828105E-13   6.01278529E-08   2.22025229E-16
      11          56.1    10.1226   5.100E+00   0.0011   0.0038   6.548E-11  -2.29033074E-13   7.24260261E-08   2.22025229E-16
      12          61.2    10.1051   5.100E+00   0.0012   0.0038   6.821E-11  -1.47250116E-12   8.57914699E-08   2.22025229E-16
      13          66.3    10.1454   5.100E+00   0.0013   0.0038   7.276E-11  -4.32302501E-12   1.00179847E-07   2.22025229E-16
      14          71.4    10.1211   5.100E+00   0.0014   0.0038   8.731E-11   4.78769747E-13   1.15563552E-07   2.22025229E-16
      15          76.5    10.1094   5.100E+00   0.0015   0.0038   8.731E-11   3.78519655E-12   1.31885471E-07   2.22025229E-16
      16          81.6    10.0873   5.100E+00   0.0016   0.0038   8.731E-11  -5.39746763E-12   1.49151987E-07   2.22025229E-16
      17          86.7    10.1429   5.100E+00   0.0017   0.0038   9.095E-11   4.69385251E-12   1.67304378E-07   2.22025229E-16
      18          91.8    10.0946   5.100E+00   0.0018   0.0038   9.277E-11  -5.89289164E-12   1.86306707E-07   2.22025229E-16
      19          96.9    10.1114   5.100E+00   0.0019   0.0038   1.055E-10  -9.67029668E-12   2.06114038E-07   2.22025229E-16
      20           102    10.1036   5.100E+00   0.0020   0.0038   9.459E-11   3.69657083E-12   2.26690275E-07   2.22025229E-16
      21         107.1    10.1288   5.100E+00   0.0021   0.0038   1.019E-10   1.69844477E-12   2.47989504E-07   2.22025229E-16
      22         112.2    10.1145   5.100E+00   0.0022   0.0038   1.164E-10  -4.28745190E-12   2.69936464E-07   2.22025229E-16
      23         117.3    10.1258   5.100E+00   0.0023   0.0038   1.164E-10  -3.79555198E-12   2.92552642E-07   2.22025229E-16
      24         122.4    10.1019   5.100E+00   0.0023   0.0038   1.164E-10  -4.22381878E-12   3.15766613E-07   2.22025229E-16
      25         127.5    10.1225   5.100E+00   0.0024   0.0038   1.164E-10  -2.87905225E-12   3.39526764E-07   2.22025229E-16
      26         132.6    10.0768   5.100E+00   0.0025   0.0038   1.164E-10   6.78964003E-12   3.63795692E-07   2.22025229E-16
      27         137.7    10.1130   5.100E+00   0.0026   0.0038   1.364E-10   8.78084497E-13   3.88521499E-07   2.22025229E-16
      28         142.8    10.0970   5.100E+00   0.0027   0.0038   1.310E-10  -6.59390468E-12   4.13665759E-07   2.22025229E-16
      29         147.9    10.1258   5.100E+00   0.0027   0.0038   1.455E-10  -6.03467493E-12   4.39177853E-07   2.22025229E-16
      30           153    10.1010   5.100E+00   0.0028   0.0038   1.310E-10  -3.68425039E-12   4.65020264E-07   2.22025229E-16
      31         158.1    10.1160   5.100E+00   0.0029   0.0038   1.455E-10  -2.77297733E-14   4.91145101E-07   2.22025229E-16
      32         163.2    10.0933   5.100E+00   0.0029   0.0038   1.455E-10   7.09066323E-14   5.17477019E-07   2.22025229E-16
      33         168.3    10.1344   5.100E+00   0.0030   0.0038   1.583E-10   2.80189934E-12   5.44021759E-07   2.22025229E-16
      34         173.4    10.1166   5.100E+00   0.0031   0.0038   1.601E-10  -6.83604128E-12   5.70752093E-07   2.22025229E-16
      35         178.5    10.1079   5.100E+00   0.0031   0.0038   1.455E-10   9.73376544E-13   5.97600490E-07   2.22025229E-16
      36         183.6    10.0947   5.100E+00   0.0032   0.0038   1.783E-10   5.99976882E-12   6.24533186E-07   2.22025229E-16
      37         188.7    10.1405   5.100E+00   0.0032   0.0038   1.746E-10  -9.36558448E-13   6.51509026E-07   2.22025229E-16
      38         193.8    10.1005   5.100E+00   0.0033   0.0038   1.637E-10  -7.82568975E-12   6.78498509E-07   2.22025229E-16
      39         198.9    10.1044   5.100E+00   0.0033   0.0038   1.783E-10  -1.72001074E-12   7.05461844E-07   2.22025229E-16
      40           204    10.0956   5.100E+00   0.0034   0.0038   1.612E-10  -4.29403561E-12   7.32371518E-07   2.22025229E-16
      41         209.1    10.1462   5.100E+00   0.0034   0.0038   1.764E-10   9.54414065E-12   7.59192801E-07   2.22025229E-16
      42         214.2    10.0878   5.100E+00   0.0035   0.0038   1.746E-10  -4.95257654E-12   7.85901193E-07   2.22025229E-16
      43         219.3    10.2035   5.100E+00   0.0035   0.0038   1.746E-10  -1.24514028E-12   8.12463668E-07   2.22025229E-16
      44         224.4    10.1060   5.100E+00   0.0035   0.0038   2.037E-10  -8.15201314E-13   8.38859819E-07   2.22025229E-16
      45         229.5    10.1486   5.100E+00   0.0036   0.0038   1.746E-10   1.21592580E-12   8.65060770E-07   2.22025229E-16
      46         234.6    10.0947   5.100E+00   0.0036   0.0038   1.819E-10   8.08455559E-12   8.91047307E-07   2.22025229E-16
      47         239.7    10.1017   5.100E+00   0.0036   0.0038   1.892E-10   2.51045170E-12   9.16797660E-07   2.22025229E-16
      48         244.8    10.0950   5.100E+00   0.0037   0.0038   1.746E-10   4.26125151E-12   9.42295060E-07   2.22025229E-16
      49         249.9    10.1317   5.100E+00   0.0037   0.0038   2.037E-10   6.74122894E-14   9.67520123E-07   2.22025229E-16
      50           255    10.1055   5.100E+00   0.0037   0.0038   1.746E-10  -8.68934699E-12   9.92461423E-07   2.22025229E-16
      51         260.1    10.1278   5.100E+00   0.0038   0.0038   2.328E-10  -9.45271828E-14   1.01710066E-06   2.22025229E-16
      52         265.2    10.1182   5.100E+00   0.0038   0.0038   1.892E-10  -2.94679456E-13   1.04132766E-06   2.22025229E-16
      53         270.3    10.1298   5.100E+00   0.0039   0.0038   1.965E-10  -9.03933612E-12   1.06532138E-06   2.22025229E-16
      54         275.4    10.1222   5.100E+00   0.0039   0.0038   2.328E-10  -1.92080791E-12   1.08900281E-06   2.22025229E-16
      55         280.5    10.1353   5.100E+00   0.0039   0.0038   2.037E-10  -2.11748089E-12   1.11234931E-06   2.22025229E-16
      56         285.6    10.0989   5.100E+00   0.0040   0.0038   2.037E-10   8.73207409E-12   1.13535998E-06   2.22025229E-16
      57         290.7    10.1323   5.100E+00   0.0040   0.0038   1.892E-10  -4.42650560E-12   1.15802970E-06   2.22025229E-16
