    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0054   4.400E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           4.4   113.3655   4.400E+00   0.0002   0.0034   2.365E-11  -3.11638714E-12   1.21216182E-09   2.22036664E-16
       2           8.8    11.9681   4.400E+00   0.0004   0.0034   3.274E-11   2.36871720E-12   4.84185803E-09   2.22036664E-16
       3          13.2    11.9253   4.400E+00   0.0006   0.0034   4.366E-11  -6.63951099E-13   1.08761933E-08   2.22036664E-16
       4          17.6    11.9592   4.400E+00   0.0008   0.0034   5.821E-11   2.71920117E-12   1.92968521E-08   2.22036664E-16
       5            22    11.9785   4.400E+00   0.0009   0.0034   5.821E-11   1.50063956E-12   3.00823615E-08   2.22036664E-16
       6          26.4    11.9336   4.400E+00   0.0011   0.0034   7.276E-11   4.65107336E-13   4.31959748E-08   2.22036664E-16
       7          30.8    11.9393   4.400E+00   0.0013   0.0034   9.095E-11   3.42362965E-13   5.86064672E-08   2.22036664E-16
       8          35.2    11.9679   4.400E+00   0.0015   0.0034   1.019E-10   1.35680172E-12   7.62584662E-08   2.22036664E-16
       9          39.6    11.9820   4.400E+00   0.0017   0.0034   1.164E-10   4.61013118E-13   9.61156204E-08   2.22036664E-16
      10            44    11.9363   4.400E+00   0.0019   0.0034   1.164E-10  -5.39203838E-12   1.18114144E-07   2.22036664E-16
      11          48.4    11.9482   4.400E+00   0.0021   0.0034   1.164E-10   1.94153396E-13   1.42177086E-07   2.22036664E-16
      12          52.8    11.9925   4.400E+00   0.0022   0.0034   1.455E-10  -2.06869504E-12   1.68266311E-07   2.22036664E-16
      13          57.2    11.9852   4.400E+00   0.0024   0.0034   1.746E-10  -3.19657235E-12   1.96295247E-07   2.22036664E-16
      14          61.6    11.8969   4.400E+00   0.0026   0.0034   1.783E-10  -4.89788158E-12   2.26186188E-07   2.22036664E-16
      15            66    11.9462   4.400E+00   0.0028   0.0034   1.746E-10   1.12685761E-12   2.57843681E-07   2.22036664E-16
      16          70.4    11.9438   4.400E+00   0.0029   0.0034   2.328E-10  -2.51153156E-12   2.91193572E-07   2.22036664E-16
      17          74.8    11.9796   4.400E+00   0.0031   0.0034   2.328E-10   1.52059333E-12   3.26165093E-07   2.22036664E-16
      18          79.2    11.9389   4.400E+00   0.0033   0.0034   2.328E-10  -3.69953243E-12   3.62651519E-07   2.22036664E-16
      19          83.6    11.9432   4.400E+00   0.0034   0.0034   2.328E-10   2.06787018E-12   4.00553830E-07   2.22036664E-16
      20            88    11.9225   4.400E+00   0.0036   0.0034   2.328E-10  -1.48316038E-12   4.39774425E-07   2.22036664E-16
      21          92.4    11.9821   4.400E+00   0.0038   0.0034   2.328E-10  -2.78866426E-12   4.80210701E-07   2.22036664E-16
      22          96.8    11.9242   4.400E+00   0.0039   0.0034   2.328E-10   1.84516226E-12   5.21711229E-07   2.22036664E-16
      23         101.2    11.9019   4.400E+00   0.0041   0.0034   2.328E-10  -7.49858617E-15   5.64269044E-07   2.22036664E-16
      24         105.6    11.9107   4.400E+00   0.0042   0.0034   2.765E-10  -1.92152782E-12   6.07737149E-07   2.22036664E-16
      25           110    11.9310   4.400E+00   0.0044   0.0034   2.910E-10  -5.98177237E-12   6.52005156E-07   2.22036664E-16
      26         114.4    11.9361   4.400E+00   0.0045   0.0034   2.765E-10  -4.71436128E-12   6.96968698E-07   2.22036664E-16
      27         118.8    11.9555   4.400E+00   0.0046   0.0034   2.910E-10  -7.27506857E-12   7.42519262E-07   2.22036664E-16
      28         123.2    11.9556   4.400E+00   0.0048   0.0034   2.910E-10  -6.85502783E-12   7.88549812E-07   2.22036664E-16
      29         127.6    11.9910   4.400E+00   0.0049   0.0034   3.201E-10  -4.11228473E-12   8.34955244E-07   2.22036664E-16
      30           132    11.9433   4.400E+00   0.0050   0.0034   3.492E-10  -2.11865052E-12   8.81634094E-07   2.22036664E-16
      31         136.4    12.0191   4.400E+00   0.0052   0.0035   3.492E-10   1.71699634E-12   9.28480858E-07   2.22036664E-16
      32         140.8    11.9426   4.400E+00   0.0053   0.0035   3.492E-10  -5.50624216E-12   9.75397597E-07   2.22036664E-16
      33         145.2    11.9635   4.400E+00   0.0054   0.0035   3.492E-10  -2.28169979E-12   1.02228023E-06   2.22036664E-16
      34         149.6    11.9644   4.400E+00   0.0055   0.0035   3.492E-10  -4.53460533E-12   1.06893890E-06   2.22036664E-16
      35           154    11.9068   4.400E+00   0.0056   0.0035   3.492E-10  -7.53817907E-13   1.11548331E-06   2.22036664E-16
      36         158.4    11.9603   4.400E+00   0.0058   0.0035   3.492E-10   4.20208790E-12   1.16172225E-06   2.22036664E-16
      37         162.8    11.9821   4.400E+00   0.0059   0.0035   3.638E-10  -1.48430020E-12   1.20757011E-06   2.22036664E-16
      38         167.2    11.9079   4.400E+00   0.0060   0.0035   4.075E-10  -6.58729842E-12   1.25294684E-06   2.22036664E-16
      39         171.6    11.9273   4.400E+00   0.0061   0.0035   3.492E-10  -9.87353862E-13   1.29777175E-06   2.22036664E-16
      40           176    11.9283   4.400E+00   0.0062   0.0035   3.638E-10  -6.78172145E-13   1.34197285E-06   2.22036664E-16
      41         180.4    11.9726   4.400E+00   0.0063   0.0035   4.657E-10   3.29397902E-12   1.38547659E-06   2.22036664E-16
      42         184.8    11.9312   4.400E+00   0.0063   0.0035   4.657E-10  -1.11446995E-12   1.42822171E-06   2.22036664E-16
      43         189.2    11.9609   4.400E+00   0.0064   0.0035   4.657E-10  -2.13499750E-13   1.47014464E-06   2.22036664E-16
      44         193.6    11.9623   4.400E+00   0.0065   0.0035   4.657E-10  -5.77091196E-12   1.51119320E-06   2.22036664E-16
      45           198    11.9472   4.400E+00   0.0066   0.0035   4.657E-10  -1.06807462E-11   1.55131465E-06   2.22036664E-16
      46         202.4    11.9539   4.400E+00   0.0066   0.0035   4.657E-10  -7.69696893E-12   1.59046397E-06   2.22036664E-16
      47         206.8    11.9350   4.400E+00   0.0067   0.0035   4.657E-10  -7.68623099E-12   1.62860033E-06   2.22036664E-16
      48         211.2    11.9187   4.400E+00   0.0068   0.0035   4.657E-10  -2.25557485E-12   1.66568918E-06   2.22036664E-16
      49         215.6    11.9465   4.400E+00   0.0068   0.0035   4.657E-10  -1.11334214E-11   1.70169892E-06   2.22036664E-16
      50           220    11.9461   4.400E+00   0.0069   0.0035   4.657E-10  -3.89914490E-12   1.73660555E-06   2.22036664E-16
      51         224.4    11.9278   4.400E+00   0.0069   0.0035   4.657E-10   1.11063068E-12   1.77038783E-06   2.22036664E-16
      52         228.8    11.9743   4.400E+00   0.0070   0.0035   4.657E-10  -5.78830863E-12   1.80303152E-06   2.22036664E-16
      53         233.2    11.9789   4.400E+00   0.0070   0.0036   4.657E-10  -1.25394356E-12   1.83452403E-06   2.22036664E-16
      54         237.6    11.9144   4.400E+00   0.0070   0.0036   4.657E-10  -2.13865687E-12   1.86486113E-06   2.22036664E-16
      55           242    11.9258   4.400E+00   0.0071   0.0036   4.657E-10  -5.85951556E-12   1.89404159E-06   2.22036664E-16
