    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0030   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1    12.6608   5.100E+00   0.0001   0.0038   3.001E-11   2.16956227E-12   6.18055052E-10   2.22073801E-16
       2          10.2     1.1048   5.100E+00   0.0002   0.0038   2.728E-11  -4.25784733E-13   2.46826737E-09   2.22073801E-16
       3          15.3     1.1058   5.100E+00   0.0003   0.0038   3.274E-11   2.04951355E-12   5.54114088E-09   2.22073801E-16
       4          20.4     1.1102   5.100E+00   0.0004   0.0038   3.274E-11  -3.06933645E-12   9.82538406E-09   2.22073801E-16
       5          25.5     1.1051   5.100E+00   0.0005   0.0038   4.002E-11   3.23127592E-12   1.53079629E-08   2.22073801E-16
       6          30.6     1.1080   5.100E+00   0.0006   0.0038   3.820E-11  -7.71394558E-13   2.19756942E-08   2.22073801E-16
       7          35.7     1.1056   5.100E+00   0.0007   0.0038   4.547E-11   2.19108694E-13   2.98111793E-08   2.22073801E-16
       8          40.8     1.1060   5.100E+00   0.0008   0.0038   5.093E-11  -2.91805989E-12   3.87985502E-08   2.22073801E-16
       9          45.9     1.1044   5.100E+00   0.0008   0.0038   5.093E-11  -4.41297823E-12   4.89163661E-08   2.22073801E-16
      10            51     1.1087   5.100E+00   0.0009   0.0038   5.093E-11  -1.20250327E-12   6.01446430E-08   2.22073801E-16
      11          56.1     1.1089   5.100E+00   0.0010   0.0038   5.821E-11   2.21874168E-12   7.24524014E-08   2.22073801E-16
      12          61.2     1.1056   5.100E+00   0.0011   0.0038   6.548E-11   3.29145955E-12   8.58191527E-08   2.22073801E-16
      13          66.3     1.1085   5.100E+00   0.0012   0.0038   7.560E-11  -6.12580516E-12   1.00208887E-07   2.22073801E-16
      14          71.4     1.1064   5.100E+00   0.0013   0.0038   7.230E-11   3.42409456E-12   1.15594233E-07   2.22073801E-16
      15          76.5     1.1049   5.100E+00   0.0014   0.0038   7.276E-11   9.99003658E-12   1.31933504E-07   2.22073801E-16
      16          81.6     1.1085   5.100E+00   0.0015   0.0038   7.640E-11   4.54498331E-12   1.49201625E-07   2.22073801E-16
      17          86.7     1.1051   5.100E+00   0.0016   0.0038   1.019E-10   1.34218700E-12   1.67354955E-07   2.22073801E-16
      18          91.8     1.1053   5.100E+00   0.0016   0.0038   8.731E-11  -8.89266352E-12   1.86358278E-07   2.22073801E-16
      19          96.9     1.1062   5.100E+00   0.0017   0.0038   8.004E-11  -3.81048188E-12   2.06166760E-07   2.22073801E-16
      20           102     1.1048   5.100E+00   0.0018   0.0038   9.788E-11   5.82910109E-12   2.26744078E-07   2.22073801E-16
