    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0026   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1    15.3295   5.100E+00   0.0001   0.0038   2.910E-11   2.35418130E-12   6.17851659E-10   2.22073801E-16
       2          10.2     1.2786   5.100E+00   0.0002   0.0038   2.910E-11   2.41413248E-12   2.46745868E-09   2.22073801E-16
       3          15.3     1.2829   5.100E+00   0.0003   0.0038   3.456E-11   1.96951873E-12   5.53933122E-09   2.22073801E-16
       4          20.4     1.2777   5.100E+00   0.0004   0.0038   3.638E-11  -1.30133469E-12   9.82217685E-09   2.22073801E-16
       5          25.5     1.2771   5.100E+00   0.0005   0.0038   4.366E-11   4.41470298E-12   1.53029767E-08   2.22073801E-16
       6          30.6     1.2768   5.100E+00   0.0006   0.0038   4.547E-11   3.84564993E-12   2.19685621E-08   2.22073801E-16
       7          35.7     1.2780   5.100E+00   0.0007   0.0038   5.093E-11  -5.89238944E-13   2.98015905E-08   2.22073801E-16
       8          40.8     1.2775   5.100E+00   0.0008   0.0038   5.457E-11  -4.51087952E-12   3.87861476E-08   2.22073801E-16
       9          45.9     1.2791   5.100E+00   0.0009   0.0038   5.093E-11   2.84004461E-12   4.89008691E-08   2.22073801E-16
      10            51     1.2770   5.100E+00   0.0010   0.0038   5.821E-11  -2.91266100E-12   6.01257213E-08   2.22073801E-16
      11          56.1     1.2803   5.100E+00   0.0011   0.0038   7.185E-11  -9.51990548E-13   7.24298204E-08   2.22073801E-16
      12          61.2     1.2773   5.100E+00   0.0012   0.0038   6.867E-11   1.90074166E-13   8.57926210E-08   2.22073801E-16
      13          66.3     1.2817   5.100E+00   0.0013   0.0038   7.640E-11  -4.00091592E-12   1.00178134E-07   2.22073801E-16
      14          71.4     1.2779   5.100E+00   0.0014   0.0038   8.004E-11   2.00770151E-12   1.15558962E-07   2.22073801E-16
      15          76.5     1.2790   5.100E+00   0.0015   0.0038   8.731E-11   6.53420807E-12   1.31893387E-07   2.22073801E-16
      16          81.6     1.2795   5.100E+00   0.0016   0.0038   8.731E-11   3.53225413E-12   1.49156264E-07   2.22073801E-16
      17          86.7     1.2780   5.100E+00   0.0017   0.0038   9.459E-11   1.75202973E-12   1.67304208E-07   2.22073801E-16
      18          91.8     1.2784   5.100E+00   0.0018   0.0038   1.073E-10  -9.16873175E-12   1.86301804E-07   2.22073801E-16
      19          96.9     1.2782   5.100E+00   0.0019   0.0038   1.002E-10  -2.03739586E-12   2.06104360E-07   2.22073801E-16
      20           102     1.2789   5.100E+00   0.0019   0.0038   1.164E-10   1.01350894E-12   2.26675411E-07   2.22073801E-16
      21         107.1     1.2763   5.100E+00   0.0020   0.0038   1.031E-10  -3.29829827E-12   2.47968813E-07   2.22073801E-16
      22         112.2     1.2753   5.100E+00   0.0021   0.0038   1.019E-10  -6.98646306E-12   2.69938226E-07   2.22073801E-16
