    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0035   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1    10.4508   5.100E+00   0.0001   0.0038   3.001E-11  -2.06320800E-13   6.18739671E-10   2.22073801E-16
       2          10.2     1.4534   5.100E+00   0.0002   0.0038   3.274E-11  -5.26215193E-13   2.47383447E-09   2.22073801E-16
       3          15.3     1.4566   5.100E+00   0.0003   0.0038   3.274E-11   2.61805660E-13   5.56349278E-09   2.22073801E-16
       4          20.4     1.4553   5.100E+00   0.0004   0.0038   4.002E-11   6.86795523E-14   9.88566917E-09   2.22073801E-16
       5          25.5     1.4534   5.100E+00   0.0005   0.0038   4.184E-11   4.74405563E-13   1.54376245E-08   2.22073801E-16
       6          30.6     1.4539   5.100E+00   0.0007   0.0038   5.821E-11   1.12483297E-12   2.22135608E-08   2.22073801E-16
       7          35.7     1.4497   5.100E+00   0.0008   0.0038   5.093E-11   3.86999027E-12   3.02056833E-08   2.22073801E-16
       8          40.8     1.4528   5.100E+00   0.0009   0.0038   5.093E-11   2.57263004E-12   3.94004473E-08   2.22073801E-16
       9          45.9     1.4529   5.100E+00   0.0010   0.0038   5.821E-11   2.52830591E-12   4.97829298E-08   2.22073801E-16
      10            51     1.4504   5.100E+00   0.0011   0.0038   5.821E-11   3.10663431E-12   6.13317539E-08   2.22073801E-16
      11          56.1     1.4533   3.900E+00   0.0009   0.0029   6.548E-11   2.40841093E-12   7.40210453E-08   2.22073801E-16
      12            60     1.4523   5.100E+00   0.0013   0.0038   7.549E-11  -2.75961480E-12   8.44836237E-08   2.22073801E-16
